0;3;150
4;6;190
7;10;200
11;15;240
16;20;330
21;25;420
26;30;510
31;35;590
36;40;680
41;45;770
46;50;860
51;60;990
61;70;1170
71;80;1340
81;90;1520
91;100;1690
101;120;1980
121;140;2310
141;160;2640
161;180;3080
181;200;3410
201;220;3740
221;240;4070
241;260;4510
261;280;4840
281;300;5170
301;320;5500
321;340;5720
341;360;6050
361;380;6380
381;400;6600
401;420;6930
421;440;7150
441;460;7480
461;480;7700
481;500;8030
501;520;8360
521;540;8580
541;560;5910
561;580;9130
581;600;9460
601;640;9790
641;680;10010
681;720;10340
721;760;10670
761;800;11000
801;840;11330
841;880;11550
881;920;11880
921;960;12210
961;1000;12540
1001;1040;12870
1041;1080;13200
1081;1120;13420
1121;1160;13750
1161;1200;14080
1201;1240;14410
1241;1280;14740
1281;1320;15070
1321;1360;15290
1361;1400;15620
1401;1440;15950
1441;1480;16280
1481;1520;16610
1521;1560;16830
1561;1600;17160
1601;1640;17490
1641;1680;17820
1681;1720;18150
1721;1760;18480
1761;1800;18700
1801;1840;19030
1841;1880;19360
1881;1920;19690
1921;1960;20020
1961;2000;20240
2001;2040;20570
2041;2080;20900
2081;2120;21230
2121;2160;21560
2161;2200;21890
2201;2240;22110
2241;2280;22440
2281;2320;22770
2321;2360;23100
2361;2400;23430
2401;2440;23650
2441;2480;23980
2481;2520;24310
2521;2560;24640
2561;2600;24970
2601;2640;25300
2641;2680;25520
2681;2720;25850
2721;2760;26180
2761;2800;26510
2801;2840;26840
2841;2880;27060
2881;2920;27390
2921;2960;27720
2961;3000;28050
3001;3040;28380
3041;3080;28710
3081;3120;28930
3121;3160;29260
3161;3200;29590
3201;3240;29920
3241;3280;30250
3281;3320;30580
3321;3360;30800
3361;3400;31130
